"timestamp","value"
1739266665280,114
1739266670280,117
1739266675280,114
1739266680280,116
1739266685280,115
1739266690285,113
1739266694900,118
1739266699516,116
1739266704131,118
1739266708747,118
1739266713362,118
1739266717978,119
1739266722593,120
1739266727209,119
1739266731824,121
1739266736440,122
1739266741055,109
1739266745671,122
1739266750291,121
1739266754576,123
1739266758862,107
1739266763148,121
1739266767434,123
1739266771719,108
1739266776005,123
1739266780291,126
1739266784577,124
1739266788863,127
1739266793148,128
1739266797434,130
1739266801720,131
1739266806006,131
1739266810296,130
1739266814581,131
1739266818867,132
1739266823153,130
1739266827439,132
1739266831725,132
1739266836011,129
1739266840297,117
1739266844582,128
1739266848868,127
1739266853154,130
1739266857440,126
1739266861726,114
1739266866012,129
1739266870302,128
1739266874587,127
1739266878873,129
1739266883159,133
1739266887445,130
1739266891730,128
1739266896016,117
1739266900302,132
1739266904588,119
1739266908874,133
1739266913159,108
1739266917445,133
1739266921731,133
1739266926017,135
1739266930307,135
1739266934307,133
1739266938307,135
1739266942307,137
1739266946308,136
1739266950308,136
1739266954308,138
1739266958308,137
1739266962309,123
1739266966309,138
1739266970309,126
1739266974309,138
1739266978310,139
1739266982310,139
1739266986310,126
1739266990315,141
1739266994315,141
1739266998315,126
1739267002315,125
1739267006315,140
1739267010315,125
1739267014315,138
1739267018315,137
1739267022315,139
1739267026315,137
1739267030315,134
1739267034315,135
1739267038315,136
1739267042315,134
1739267046315,135
1739267050320,134
1739267054320,120
1739267058320,134
1739267062320,121
1739267066320,136
1739267070320,137
1739267074320,136
1739267078320,135
1739267082321,132
1739267086321,134
1739267090321,131
1739267094321,127
1739267098321,129
1739267102321,126
1739267106321,126
1739267110326,122
1739267114611,122
1739267118897,123
1739267123183,125
1739267127469,123
1739267131755,126
1739267136041,115
1739267140327,129
1739267144613,126
1739267148899,128
1739267153185,131
1739267157471,131
1739267161757,133
1739267166043,133
1739267170333,133
1739267174333,133
1739267178333,133
1739267182333,121
1739267186333,127
1739267190333,129
1739267194333,131
