"timestamp","value"
1739276437891,964
1739276436435,1456
1739276435935,500
1739276434931,1004
1739276433887,1044
1739276433347,540
1739276432791,556
1739276432219,572
1739276431615,604
1739276430923,692
1739276430227,696
1739276429283,944
1739276428587,696
1739276428071,516
1739276427575,496
1739276427087,488
1739276426595,492
1739276426115,480
1739276425627,488
1739276425139,488
1739276424643,496
1739276424155,488
1739276423651,504
1739276423159,492
1739276422659,500
1739276421663,996
1739276420687,976
1739276420199,488
1739276419727,472
1739276419235,492
1739276418763,472
1739276418287,476
1739276417319,968
1739276416351,968
1739276415851,500
1739276415347,504
1739276414355,992
1739276413847,508
1739276413335,512
1739276412827,508
1739276412323,504
1739276411815,508
1739276411327,488
1739276411007,488
1739276410523,484
1739276410039,484
1739276409559,480
1739276409075,484
1739276408591,484
1739276408103,488
1739276407619,484
1739276407127,492
1739276406635,492
1739276406143,492
1739276405651,492
1739276405151,500
1739276404655,496
1739276404159,496
1739276403671,488
1739276403187,484
1739276402703,484
1739276402219,484
1739276401743,476
1739276401259,484
1739276400779,480
1739276400295,484
1739276399815,480
1739276399331,484
1739276398843,488
1739276397875,968
1739276397403,472
1739276396919,484
1739276396447,472
1739276395979,468
1739276395511,468
1739276395035,476
1739276394559,476
1739276394083,476
1739276393607,476
1739276393123,484
1739276392643,480
1739276392155,488
1739276391663,492
1739276391167,496
1739276390663,504
1739276390175,488
1739276389683,492
1739276389191,492
1739276388707,484
1739276388219,488
1739276387739,480
1739276387259,480
1739276386775,484
1739276386287,488
1739276385819,468
1739276385343,476
1739276384863,480
1739276384391,472
1739276383919,472
1739276383431,488
1739276382963,468
1739276382479,484
1739276382007,472
1739276381523,484
1739276381043,480
1739276380555,488
1739276380071,484
1739276379583,488
1739276379099,484
1739276378607,492
1739276378119,488
1739276377635,484
1739276377147,488
1739276376655,492
1739276376167,488
1739276375671,496
1739276375179,492
1739276374691,488
1739276374211,480
1739276373711,500
1739276373227,484
1739276372735,492
1739276372247,488
1739276371747,500
1739276371251,496
1739276370751,500
1739276370247,504
1739276369739,508
1739276369231,508
1739276368723,508
1739276368211,512
1739276367695,516
1739276367183,512
1739276366675,508
1739276366147,528
1739276365631,516
1739276365115,516
1739276364603,512
1739276364075,528
1739276363531,544
1739276363019,512
1739276362479,540
1739276361771,708
1739276361423,348
1739276360903,520
1739276360391,512
1739276359899,492
1739276359407,492
1739276358911,496
1739276358419,492
1739276357927,492
1739276357423,504
1739276356803,620
1739276356451,352
1739276355947,504
1739276355431,516
1739276354899,532
1739276354363,536
1739276353807,556
1739276353243,564
1739276352643,600
1739276352007,636
1739276351319,688
1739276350508,680
1739276349748,760
1739276349124,624
1739276348548,576
1739276348008,540
1739276347480,528
1739276346956,524
1739276346440,516
1739276345928,512
1739276345400,528
1739276344868,532
1739276344336,532
1739276343792,544
1739276343248,544
1739276342696,552
1739276342144,552
1739276341592,552
1739276341044,548
1739276340512,532
1739276339988,524
1739276339488,500
1739276338972,516
1739276338476,496
1739276337964,512
1739276337452,512
1739276336940,512
1739276336432,508
1739276335924,508
1739276335416,508
1739276334904,512
1739276334392,512
1739276333876,516
1739276333368,508
1739276332848,520
1739276332324,524
1739276331812,512
1739276331320,492
1739276330844,476
1739276330372,472
1739276329904,468
1739276329432,472
1739276328968,464
1739276328492,476
1739276328020,472
1739276327544,476
1739276327064,480
1739276326092,972
1739276325120,972
1739276324628,492
1739276323664,964
1739276323184,480
1739276322708,476
1739276322220,488
1739276321736,484
1739276321248,488
1739276320760,488
1739276320264,496
1739276319776,488
1739276318796,980
1739276318304,492
1739276317820,484
1739276316888,932
1739276316412,476
1739276315944,468
1739276315476,468
1739276315012,464
1739276314520,492
1739276313556,964
1739276312568,988
1739276311572,996
1739276311064,508
1739276310560,504
1739276310048,512
1739276309548,500
1739276309044,504
1739276308556,488
1739276308072,484
1739276307592,480
1739276307124,468
1739276306648,476
1739276306184,464
1739276305720,464
1739276305264,456
1739276304796,468
1739276304332,464
1739276303864,468
1739276303392,472
1739276302924,468
1739276302440,484
1739276301984,456
1739276301508,476
1739276301032,476
1739276300552,480
1739276300084,468
1739276299616,468
1739276299148,468
1739276298684,464
1739276298224,460
1739276297768,456
1739276297308,460
1739276296852,456
1739276296396,456
1739276295932,464
1739276295472,460
1739276295008,464
1739276294548,460
1739276294084,464
1739276293616,468
1739276293156,460
1739276292684,472
1739276292228,456
1739276291760,468
1739276291312,448
1739276291218,464
1739276290762,456
1739276290310,452
1739276289854,456
1739276289394,460
1739276288938,456
1739276288482,456
1739276288030,452
1739276287570,460
1739276287110,460
1739276286654,456
1739276286202,452
1739276285746,456
1739276285290,456
1739276284842,448
1739276284386,456
1739276283934,452
1739276283482,452
1739276283038,444
1739276282590,448
1739276282142,448
1739276281694,448
1739276281250,444
1739276280794,456
1739276280342,452
1739276279890,452
1739276279434,456
1739276278978,456
1739276278522,456
1739276278066,456
1739276277602,464
1739276277146,456
1739276276674,472
1739276276214,460
1739276275754,460
1739276275302,452
1739276274842,460
1739276274386,456
1739276273922,464
1739276273462,460
1739276273002,460
1739276272542,460
1739276272074,468
1739276271610,464
1739276271146,464
1739276270686,460
1739276270214,472
1739276269754,460
1739276269286,468
1739276268822,464
1739276268354,468
1739276267890,464
1739276267426,464
1739276266958,468
1739276266494,464
1739276266030,464
1739276265570,460
1739276265106,464
1739276264642,464
1739276264182,460
1739276263722,460
1739276263258,464
1739276262794,464
1739276262326,468
1739276261858,468
1739276261390,468
1739276260918,472
1739276260438,480
1739276259958,480
1739276259482,476
1739276259002,480
1739276258522,480
1739276258042,480
1739276257562,480
1739276257086,476
1739276256614,472
1739276256150,464
1739276255686,464
1739276255226,460
1739276254770,456
1739276254318,452
1739276253862,456
1739276253406,456
1739276252958,448
1739276252506,452
1739276252050,456
1739276251602,448
1739276251146,456
1739276250690,456
1739276250230,460
1739276249762,468
1739276249306,456
1739276248846,460
1739276248394,452
1739276247926,468
1739276247466,460
1739276247002,464
1739276246542,460
1739276246078,464
1739276245618,460
1739276245154,464
1739276244694,460
1739276244238,456
1739276243782,456
1739276243330,452
1739276242878,452
1739276242422,456
1739276241966,456
1739276241510,456
1739276241054,456
1739276240594,460
1739276240134,460
1739276239678,456
1739276239210,468
1739276238746,464
1739276238278,468
1739276237810,468
1739276237346,464
1739276236894,452
1739276236418,476
1739276235950,468
1739276235486,464
1739276235030,456
1739276234554,476
1739276234090,464
1739276233626,464
1739276233162,464
1739276232694,468
1739276232234,460
1739276231766,468
1739276231306,460
1739276230662,464
1739276230202,460
1739276229734,468
1739276229274,460
1739276228810,464
1739276228350,460
1739276227878,472
1739276227418,460
1739276226950,468
1739276226478,472
1739276226006,472
1739276225538,468
1739276225070,468
1739276224594,476
1739276224118,476
1739276223646,472
1739276223178,468
1739276222694,484
1739276222218,476
1739276221742,476
1739276221270,472
1739276220786,484
1739276220310,476
1739276219818,492
1739276219346,472
1739276218858,488
1739276218382,476
1739276217898,484
1739276217434,464
1739276216954,480
1739276216482,472
1739276216010,472
1739276215538,472
1739276215062,476
1739276214590,472
1739276214110,480
1739276213630,480
1739276213150,480
1739276212674,476
1739276212190,484
1739276211710,480
1739276211222,488
1739276210742,480
1739276210262,480
1739276209782,480
1739276209298,484
1739276208822,476
1739276208338,484
1739276207870,468
1739276207394,476
1739276206922,472
1739276206446,476
1739276205978,468
1739276205506,472
1739276205038,468
1739276204570,468
1739276204098,472
1739276203626,472
1739276203146,480
1739276202666,480
1739276202182,484
1739276201690,492
1739276201198,492
1739276200710,488
1739276200218,492
1739276199726,492
1739276199238,488
1739276198746,492
1739276198262,484
1739276197774,488
1739276197294,480
1739276196826,468
1739276196366,460
1739276195898,468
1739276195434,464
1739276194970,464
1739276194510,460
1739276194042,468
1739276193578,464
1739276193110,468
1739276192638,472
1739276192166,472
1739276191690,476
1739276191218,472
1739276190742,476
1739276190266,476
1739276189798,468
1739276189330,468
1739276188854,476
1739276188386,468
1739276187910,476
1739276187438,472
1739276186970,468
1739276186506,464
1739276186030,476
1739276185566,464
1739276185094,472
1739276184626,468
1739276184150,476
1739276183678,472
1739276183202,476
1739276182730,472
1739276182254,476
1739276181782,472
1739276181306,476
1739276180834,472
1739276180358,476
1739276179878,480
1739276179402,476
1739276178934,468
1739276178462,472
1739276177994,468
1739276177518,476
1739276177046,472
1739276176570,476
1739276176098,472
1739276175626,472
1739276175150,476
1739276174666,484
1739276174190,476
1739276173714,476
1739276173234,480
1739276172750,484
1739276172266,484
1739276171782,484
1739276171354,488
1739276171298,484
1739276170870,484
1739276170382,488
1739276169898,484
1739276169410,488
