"timestamp","value"
1739276403671,14
1739276392534,21
1739276381393,22
1739276370255,23
1739276358867,36
1739276300199,17
1739276289059,23
1739276277918,23
1739276266532,24
1739276255393,23
1739276244007,24
1739276232867,23
1739276221479,24
1739276210342,23
1739276199203,23
1739276188064,23
1739276176925,23
1739276165539,24
1739276154151,24
1739276143010,23
1739276135832,15
1739276124444,24
1739276113058,24
1739276101919,23
1739276090534,24
1739276079147,24
1739276067760,23
1739276056620,23
1739276045483,23
1739276034095,24
1739276022956,23
1739276011815,23
1739276000679,23
1739275989540,23
1739275978399,23
1739275967262,23
1739275955872,23
1739275944488,24
1739275933346,23
1739275922207,23
1739275911067,23
1739275899683,23
1739275888298,24
1739275877157,23
1739275866018,23
1739275854631,24
1739275843246,24
1739275836065,15
1739275824679,24
1739275813543,23
1739275802402,23
1739275791264,23
1739275780124,24
1739275768738,24
1739275757597,24
1739275746213,24
1739275735075,24
1739275723933,23
1739275712547,24
1739275701162,24
1739275689775,24
1739275678636,23
1739275667251,24
1739275655863,24
1739275644476,24
1739275633092,24
1739275621951,23
1739275610568,24
1739275599428,23
1739275588039,24
1739275576902,23
1739275565765,24
1739275554622,23
1739275543486,24
1739275538783,10
1739275527398,24
1739275516258,24
1739275505120,23
1739275493733,24
1739275482349,24
1739275470960,24
1739275459823,23
1739275448438,24
1739275437049,23
1739275425663,24
1739275414278,23
1739275403139,23
1739275391998,23
1739275380863,23
1739275369722,23
1739275358334,23
1739275347198,23
1739275336058,22
1739275324673,23
1739275313286,23
1739275301901,23
1739275290515,23
1739275279127,23
1739275267991,23
1739275256602,23
1739275245464,23
1739275234077,23
1739275222693,23
1739275211555,23
1739275200166,23
1739275188783,22
1739275177399,22
1739275166012,23
1739275154624,23
1739275143488,23
1739275132349,23
1739275121213,23
1739275110072,23
1739275098937,23
1739275087796,23
1739275078143,19
1739275066757,22
1739275055621,23
1739275044238,24
1739275033097,23
1739275021959,22
1739275010574,24
1739274999188,24
1739274988053,23
1739274976915,23
1739274965527,24
1739274954143,23
1739274943004,33
1739274912316,3
1739274901177,22
1739274890040,23
1739274878651,24
1739274867517,23
1739274856379,23
1739274845241,23
1739274834104,23
1739274822962,23
1739274811579,23
1739274800191,24
1739274789054,23
1739274777915,23
1739274766780,24
1739274755393,24
1739274744009,24
1739274732870,23
1739274721730,23
1739274710593,23
1739274699456,23
1739274688070,24
1739274676929,23
1739274665791,23
1739274654651,23
1739274643514,23
1739274632375,23
1739274620986,24
1739274609848,24
1739274598709,24
1739274587323,24
1739274575937,24
1739274570739,11
1739274559600,23
1739274548458,23
1739274537322,24
1739274525933,24
1739274514546,24
1739274503407,23
1739274492019,24
1739274480879,23
1739274469740,23
1739274458601,23
1739274447211,24
1739274435824,24
1739274424685,23
1739274413299,24
1739274402158,23
1739274390771,24
1739274379385,24
1739274367994,24
1739274356857,23
1739274345468,24
1739274334328,23
1739274323188,24
1739274311800,24
1739274300410,24
1739274289026,24
1739274277635,24
1739274266497,24
1739274255356,23
1739274243969,24
1739274232582,24
1739274221195,23
1739274210053,23
1739274198914,23
1739274187771,23
1739274176385,24
1739274164995,24
1739274153856,23
1739274142714,23
1739274131326,24
1739274120186,23
1739274109045,23
1739274097653,24
1739274092951,10
1739274081810,23
1739274070667,23
1739274059524,23
1739274048137,23
1739274036993,23
1739274025604,23
1739274014215,23
1739274002825,23
1739273991681,22
1739273980541,23
1739273969398,23
1739273958007,23
1739273946616,24
1739273935225,23
1739273924084,23
1739273912694,23
1739273901550,23
1739273890159,24
1739273878766,23
1739273867376,23
1739273856234,22
1739273844843,23
1739273833698,21
1739273822556,21
1739273811162,22
1739273799773,23
1739273788628,23
1739273777485,23
1739273766337,23
1739273754945,24
1739273743802,23
1739273732408,24
1739273721265,23
1739273709871,24
1739273698479,24
1739273687333,23
1739273675940,24
1739273664548,24
1739273653401,23
1739273642254,23
1739273630863,23
1739273619467,23
1739273608076,23
1739273602377,12
1739273591230,22
1739273580083,23
1739273568939,23
1739273557543,23
1739273546397,23
1739273535251,23
1739273524106,20
1739273512710,22
1739273501316,19
1739273489920,22
1739273478774,22
1739273467378,22
1739273455738,23
1739273444343,23
1739273432947,22
1739273421800,33
1739273358884,20
1739273319995,9
1739273308848,17
1739273295722,18
1739273284079,16
1739273272189,18
1739273260550,19
1739273249402,19
1739273237762,19
1739273226366,20
1739273214973,20
1739273203829,19
1739273192682,21
1739273181287,21
1739273169896,21
1739273158502,21
1739273147356,21
1739273135961,22
1739273124321,22
1739273112927,22
1739273101781,22
1739273090389,23
1739273078252,22
1739273066858,21
1739273055714,21
1739273044319,21
1739273033175,21
1739273021781,22
1739273010633,21
1739272999240,21
1739272988095,18
1739272976455,22
1739272965061,26
1739272955402,22
1739272943760,23
1739272932367,23
1739272921221,23
1739272910075,23
1739272898930,25
1739272887292,26
1739272876144,25
1739272864751,23
1739272853359,28
1739272842215,25
1739272830574,35
1739272810018,9
1739272798871,21
1739272787726,22
1739272776332,23
1739272765189,22
1739272754040,22
1739272742648,23
1739272731502,22
1739272720108,23
1739272708962,22
1739272697570,22
1739272686177,22
1739272675028,21
1739272663882,30
1739272638618,13
1739272627226,14
1739272615832,20
1739272604436,30
1739272493731,3
1739272482339,18
1739272470698,29
1739272453614,8
1739272442470,18
1739272431077,18
1739272419933,18
1739272408540,19
1739272397152,18
1739272386007,18
1739272374866,18
1739272363475,19
1739272352084,18
1739272340693,19
1739272329305,20
1739272317914,30
1739272295382,2
1739272284240,22
1739272272851,22
1739272261709,22
1739272250318,22
1739272244130,12
1739272232985,22
1739272221845,22
1739272210703,22
1739272199560,22
1739272188415,22
1739272177274,22
1739272166130,22
1739272154991,22
1739272143845,22
1739272132705,22
1739272121315,23
1739272110169,23
1739272098781,22
1739272087390,23
1739272076000,23
1739272064608,23
1739272053217,23
1739272041827,23
1739272030434,23
1739272019292,21
1739272008147,21
1739271996756,23
1739271985364,23
1739271974222,22
1739271963078,22
1739271951934,23
1739271940541,23
1739271929151,23
1739271918005,22
1739271906616,23
1739271895223,23
1739271883829,23
1739271872436,22
1739271861046,22
1739271849900,22
1739271838754,22
1739271827609,21
1739271816216,23
1739271805073,22
1739271793432,22
1739271782288,21
1739271770896,25
1739271759750,28
1739271744150,21
1739271740433,17
1739271694619,15
1739271683227,22
1739271671832,23
1739271660687,22
1739271649542,22
1739271638152,22
1739271626758,22
1739271615612,20
1739271604468,20
1739271593324,21
1739271581683,22
1739271570536,22
1739271559141,23
1739271547749,22
1739271536604,22
1739271525459,22
1739271514314,22
1739271502917,22
1739271491527,22
1739271480131,22
1739271468488,22
1739271457343,22
1739271445952,22
1739271434805,21
1739271423660,21
1739271412265,21
1739271400870,21
1739271389480,17
1739271378333,30
1739271358520,29
1739271304277,18
1739271293134,20
1739271281741,20
1739271270348,22
1739271258954,22
1739271247562,22
1739271236169,22
1739271225026,22
1739271213879,22
1739271202737,22
1739271191342,22
1739271180194,22
1739271169052,22
1739271157659,22
1739271146269,22
1739271135123,21
1739271123978,21
1739271116300,14
1739271104909,21
1739271093515,22
1739271082372,20
